Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
13083,AssurCopro,,,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Paris,France,WEM,,,Eurazeo,,Ile-de-France,b42a4ed318db4303a9e29ec252bd71c6,75008 ,assurcopro
13084,Gendius,,1 - 10,0.633625,3,0.0,venture_a,Early Stage Venture,1.0,,crunchbase,Chester,United Kingdom,UK&I,,,GM&C Life Sciences Fund,,Cheshire,7e1a950442074ae4bf98a91707836384,SK10 4TG,gendius
13085,HitoHana,,,15.217061,1,15.217061,venture_b,Early Stage Venture,2.0,,crunchbase,Tokyo,Japan,Japan,,,ANRI;GlobalBrain,,Tokyo,a9da3d96016a4765a70612208d5104c0,,hitohana
13086,Pexapark,,11 - 50,5.850297,3,3.979851,venture_a,Early Stage Venture,,,crunchbase,Schlieren,Switzerland,GSA,,,,,Zurich,089dd134f3f54afd98b7f72e705acf7c,8952,pexapark
13087,Azura Ophthalmics,,,16.0,1,16.0,venture_b,Early Stage Venture,4.0,,crunchbase,Tel Aviv,Israel,Israel,,,Ganot Capital;OrbiMed;Medical Research Commercialisation Fund (MRCF);TPG Biotech,,Tel Aviv,b74d3888426647c1adf170be16e753ac,,azura-ophthalmics
13088,Dugout,,51 - 100,11.404591,1,11.404591,venture_unknown,Late Stage Venture,2.0,,crunchbase,London,United Kingdom,UK&I,,,,"McCourt, Frank;McCourt, David",England,c82ea559869148c597c442da6ddcb00e,WC2A 1EN,dugout
13089,iLeshou,,,4.5,1,4.5,venture_a,Early Stage Venture,1.0,,crunchbase,Guangzhou,China,Greater China,,,S.F. Express,,Guangdong,db06b72ba5944c7e8cdff7d2f67d75ec,,ileshou
13090,Zealfi Financial,,,9.130237,2,9.130237,venture_b,Early Stage Venture,1.0,,crunchbase,Hangzhou,China,Greater China,"['行健金服', 'Xingjian Jinfu', '行健金融服务外包有限公司']",,Ameba Capital,,Zhejiang,85222ef616cd43ff9e3dff8c8b0be1fa,,zealfi-finanical
13091,TRINKKOST GmbH,,1 - 10,0.0,2,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Cologne,Germany,GSA,,,Business Angels Agentur Ruhr,,Nordrhein-Westfalen,c5741c52b92542cf8d55ff7b3d88e710,,trinkkost-gmbh
13092,Drones Tech Lab,,11 - 50,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Kolkata,India,India,,,IIM Calcutta Innovation Park,,West Bengal,70eb148fea114afa9bc9fdd921234d56,700104,drones-tech-lab-an-iim-calcutta-incubated-iso-certified-organisation
13093,3BG Supply Co.,,11 - 50,3.985,2,9.385,venture_a,Early Stage Venture,2.0,,crunchbase,Fort Wayne,United States,US-Central,['3 Bald Guys Supply'],Midwest,Plymouth Growth Partners;Elevate Ventures,,Indiana,3abca2e367d4433baa2def4c97ebbb2a,46802,3bg-supply-co
13094,Chargery,,11 - 50,0.0,3,0.0,venture_unknown,Late Stage Venture,2.0,,crunchbase,Berlin,Germany,GSA,,,Helvetia Venture Fund;Vinci Venture Capital,,Berlin,5fd67cb5d51548a6b958ed37e2032d5f,,chargery
