Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
7237,100offer,,11 - 50,6.8,2,3.8,venture_b,Early Stage Venture,,,crunchbase,Shanghai,China,Greater China,,,,,Shanghai,0cebce5a3efcdd275ce6a42245a79cf9,,100offer
7238,GoBolt,,11 - 50,6.340416,3,5.4904160000000015,venture_a,Early Stage Venture,1.0,6392596.0,crunchbase,New Delhi,India,India,,,Aavishkaar Venture Capital,,Delhi,553f836a3d834d179737cfa323bcfc2f,110063,gobolt
7239,Parijat Industries,,251 - 500,15.0,1,15.0,venture_unknown,Late Stage Venture,1.0,2980728.0,crunchbase,New Delhi,India,India,,,Rabo Equity Advisors,,Delhi,867f6c685f74bd71d8f5eeb2d1394c39,110048,parijat-industries
7240,Long-Term Stock Exchange,,11 - 50,68.73,2,50.0,venture_b,Early Stage Venture,5.0,1481526.0,crunchbase,San Francisco,United States,US-West,['LTSE'],Northern California,Founders Fund;Republic Labs;Initialized Capital;Obvious Ventures;Andreessen Horowitz,,California,aa791d7e0979e28edcc8cb147bde22ca,94111,long-term-stock-exchange
7241,Virtuo,,101 - 250,33.498264,3,22.557324,venture_b,Early Stage Venture,3.0,,crunchbase,Paris,France,WEM,,,Balderton Capital;Iris Capital;Raise Ventures,,Ile-de-France,e8705bc5e6fb882b599fdd5ad3b550f0,75017,virtuo
7242,Felix Gray,,1 - 10,6.054508,4,6.014508,venture_unknown,Late Stage Venture,,,crunchbase,New York,United States,,,,,,New York,0480cb5805ef290340862e057bf3b1ff,,felix-gray
7243,Cambrian Innovation,,11 - 50,24.868412,3,18.0,venture_unknown,Late Stage Venture,1.0,5330701.0,crunchbase,Boston,United States,US-East,,New England,Spring Lane Capital,,Massachusetts,079a15bc12218ead041452bd272efc9f,02210,cambrian-innovation
7244,exands,,,0.0,3,0.0,venture_b,Early Stage Venture,1.0,259388.0,crunchbase,Shanghai,China,Greater China,,,Zhangjiang Torch Venture Capital Co,,Shanghai,48284093292f8789b6f1c539b8e61ba9,200336,exands
7245,Senvisys,,1 - 10,0.8335,3,0.613542,venture_a,Early Stage Venture,,,crunchbase,Saarbrücken,Germany,GSA,,,,,Saarland,1c0ba41be68efa4fb0ed530d106be716,66123,senvisys
7246,Newronika,,11 - 50,11.104562,3,9.199138,venture_a,Early Stage Venture,4.0,12603283.0,crunchbase,Milan,Italy,Mediterranean,,,Innogest Capital;Indaco Venture Partners;F3F;Omnes Capital,,Lombardia,265abbd0103e48a2d94c76e02c2bab4d,20121,newronika
7247,Roadpiper,,11 - 50,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,18553944.0,crunchbase,Vashi,India,India,,,India Quotient,,Maharashtra,bcbd5caa60407833eb2fae79f0d7502c,400703,roadpiper
7248,LendingFront,,11 - 50,4.0,3,4.0,venture_a,Early Stage Venture,4.0,2782869.0,crunchbase,New York,United States,US-East,,New York,Newark Venture Partners;Information Venture Partners;Revel Partners;Contour Venture Partners,,New York,1f8acbfebefb7104a1b761d2d4562f68,10010,lendingfront
7249,GrabOnRent,,11 - 50,3.0,3,2.0,venture_unknown,Late Stage Venture,2.0,,crunchbase,Bangalore,India,India,,,Unicorn India Ventures;IvyCap Ventures,,Karnataka,e84a74b2b3734751c08f8040a889c43c,560095,grabonrent
7250,Health2047,,11 - 50,42.2,2,27.2,venture_unknown,Late Stage Venture,1.0,15142341.0,crunchbase,Menlo Park,United States,US-West,,Northern California,American Medical Association,,California,25fe44e5fa397f37f214b9da86c2cbb7,94025,health2047
7251,MatraMatri.com,,,1.0,1,1.0,venture_unknown,Late Stage Venture,,25065355.0,crunchbase,New Delhi,India,India,,,,,Delhi,a2823c73d16b05d3b8defb9b882883a2,110092,matramatri-com
7252,Urban Mining Company,,11 - 50,25.0,1,25.0,venture_a,Early Stage Venture,,9968485.0,crunchbase,Austin,United States,US-West,,Central Texas,,,Texas,ac85e9d5de21fbb5c236f1bab147a761,78744,urban-mining-company
7253,Discovery Sound Technology,,11 - 50,1.6,3,1.1,venture_unknown,Late Stage Venture,,,crunchbase,Nashville,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",,,Tennessee,4e39d96525febaef4522efd7a694fe4e,37203,discovery-sound-technology
7254,Ninja Van,,1001 - 5000,117.5,4,85.0,venture_c,Late Stage Venture,1.0,13606.0,crunchbase,Singapore,Singapore,Asean,['Ninja Logistics'],,DPD group,,Central Region,e1af7cabc42f25e2f6403ca35031a42d,,ninja-van-2
7255,Smarter,,11 - 50,7.15,3,3.0,venture_a,Early Stage Venture,1.0,879536.0,crunchbase,London,United Kingdom,UK&I,['London'],,Nexus Investment Ventures,,England,4e72196514d59d189fb4f6b69860fddb,SE1 3ER,smarter
7256,Kinetica,,101 - 250,63.0,3,50.0,venture_a,Early Stage Venture,4.0,1465828.0,crunchbase,San Francisco,United States,US-West,"['GPUdb', 'GIS Federal']",Northern California,Meritech Capital Partners;Citi Ventures;Canvas Ventures;GreatPoint Ventures,,California,28d0b5dc6cce0351bbe29e1fa446edaf,94111,kinetica-2
