Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
27889,Fast Forward,,1 - 10,8.45,3,2.2,venture_unknown,Late Stage Venture,10.0,1441823.0,crunchbase,San Francisco,United States,US-West,['FFWD'],Northern California,Zendesk;Rita Allen Foundation;Omidyar Network;Google.org;Hewlett Packard Enterprise;NBCUniversal;Twilio;The Nasiri Foundation;BlackRock;AT&T,,California,54e5bd1082ef92ffa7ef75f306219aef,94129,fast-forward-3
27890,"Innovative Dental Technologies, Inc",,,0.0,2,0.0,venture_unknown,Late Stage Venture,1.0,22308996.0,crunchbase,Vancouver,United States,US-West,,Pacific Northwest,Starve Ups,,Washington,6c161aee9a093e885371a7084613b34f,98682,innovative-dental-technologies--inc
27891,HintMD,,11 - 50,29.9,6,12.5,venture_b,Early Stage Venture,,9626003.0,crunchbase,Pleasanton,United States,US-West,['HintMD'],Northern California,,,California,e00f6501433f66321342e896694a6ea8,94588,hintmd
27892,theAsianparent,,51 - 100,0.0,2,0.0,venture_c,Late Stage Venture,1.0,,crunchbase,Singapore,Singapore,Asean,,,Mirae Asset-Naver Asia Growth Fund,,Central Region,74110c561b321b728ed030d1234dcde6,068587,theasianparent
27893,PRØHBTD,,51 - 100,8.0,3,8.0,venture_a,Early Stage Venture,3.0,,crunchbase,Culver City,United States,,,,Serruya Private Equity;Cresco Capital Partners;Delavaco Capital,,California,53937759477e4887bd0888f66e166c51,,prohbtd
27894,OneDrop,,1 - 10,54.112628,4,40.0,venture_b,Early Stage Venture,2.0,727766.0,crunchbase,New York,United States,US-East,['Informed Data Systems Inc.'],New York,RRE Ventures;Bayer,,New York,644bab361f46190f3ac15008e0ccd292,10002,onedrop
27895,Everywear Games,,11 - 50,8.412514,3,5.662514,venture_unknown,Late Stage Venture,1.0,5570911.0,crunchbase,Helsinki,Finland,Nordics,,,Supercell,,Southern Finland,bc13d1a3fa517659b5c87c780b209760,00180,everywear-games
27896,Fluidic Analytics,,11 - 50,40.724546,4,31.0,venture_c,Late Stage Venture,4.0,3070982.0,crunchbase,Cambridge,United Kingdom,UK&I,,,BGF Industries;Delin Ventures;Amadeus Capital Partners;IQ Capital,,Cambridgeshire,f1ddc0dc4ee2f5f1e795a3458e83d0ca,CB1 8DH,fluidic-analytics
27897,VIMANA,,11 - 50,6.581428,6,0.0,venture_unknown,Late Stage Venture,1.0,2418157.0,crunchbase,Emeryville,United States,US-West,['System Insights'],Northern California,The Chennai Angels,,California,21aba752ec04c478f612cd232e0ec899,94608,system-insights
27898,Enki Labs,,11 - 50,0.572967,2,0.346617,venture_unknown,Late Stage Venture,,,crunchbase,Portland,United States,US-West,,Pacific Northwest,,,Oregon,630e9f45f431811e713530339de04df0,97223,enki-labs
27899,Unilend,,11 - 50,11.34131,2,2.810252,venture_unknown,Late Stage Venture,1.0,1015077.0,crunchbase,Paris,France,WEM,,,NewAlpha Asset Management,,Ile-de-France,d10fcb8dbe26b822a61ff249de876a28,75116,unilend
27900,Converus,,11 - 50,12.162454,4,5.6124540000000005,venture_unknown,Late Stage Venture,,2415488.0,crunchbase,Lehi,United States,US-West,,"Utah Region (Utah, Idaho and Wyoming)",,,Utah,9445a003b4832df9375ad0aca692fbca,84043,converus
