Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
25804,bitFlyer,,11 - 50,37.280368,8,1.75,venture_unknown,Late Stage Venture,2.0,45041.0,crunchbase,Tokyo,Japan,Japan,,,Sumitomo Mitsui Financial Group;Mizuho Financial Group,,Tokyo,c76689b89313403a18fc20b8bce0c02e,,bitflyer
25805,ZipFit Denim,,1 - 10,2.242,5,0.75,venture_a,Early Stage Venture,1.0,13200840.0,crunchbase,Chicago,United States,US-Central,['Zipfit'],Midwest,IrishAngels,,Illinois,6f883792f85bbd85962b3e3171b0eafa,60642,zipfit
25806,Tarefa.co,,1 - 10,0.011133,2,0.0,venture_unknown,Late Stage Venture,2.0,678851.0,crunchbase,Bogotá,Colombia,Latam North,,,Wayra;The ArkFund,,Distrito Especial,41fc614280e35e83d5065a2fc60d8e0c,,tarefa-simple
25807,Civis Analytics,,101 - 250,22.0,2,22.0,venture_a,Early Stage Venture,4.0,852131.0,crunchbase,Chicago,United States,,,,WPP;Verizon Ventures;Drive Capital,"Schmidt, Eric",Illinois,a775ba74450b12bb094eb912c5024b7f,,civis-analytics
25808,DRYV,,1 - 10,1.5,1,1.5,venture_a,Early Stage Venture,1.0,8443612.0,crunchbase,Chicago,United States,,,,Wintrust Ventures,,Illinois,9a47638b4eb945304f2b733b132d9659,,dryv
25809,Pixel Legend,,11 - 50,0.800593,9,0.031659,venture_unknown,Late Stage Venture,1.0,8758815.0,crunchbase,Szczecin,Poland,CESA,['FILIPOWIAK JAN'],,,"Stencel, Tomasz",Zachodniopomorskie,7da1f4a9069e3e5f288deb4e664dfed5,70-655,pixel-legend
25810,Clarifai,,51 - 100,40.0,2,30.0,venture_b,Early Stage Venture,6.0,351135.0,crunchbase,New York,United States,US-East,,New York,Corazon Capital;R/GA Accelerator;Menlo Ventures;Union Square Ventures;Lux Capital;LDV Capital,,New York,2431cd9450a907c15db4b45d4558041a,10013,clarifai
25811,Qview Medical,,1 - 10,12.5,2,5.0,venture_b,Early Stage Venture,1.0,,crunchbase,Los Altos,United States,US-West,,Northern California,Startup Capital Ventures,,California,1564219047e123691565e3aa6f3408b4,94022,qview-medical
25812,amcure,,1 - 10,15.122341,3,6.308153,venture_b,Early Stage Venture,5.0,12172340.0,crunchbase,Leopoldshafen,Germany,GSA,,,LBBW VC;KfW;Karlsruhe Institute of Technology;S-Kap Unternehmensbeteiligungs;Mittelstaendische Beteiligungsgesellschaft Baden-Wuerttemberg,,Baden-Wurttemberg,a1d391d586373ffa3ed74bf51a2fc0c3,76344,amcure
25813,Naturabuy,,1 - 10,11.326909,1,11.326909,venture_unknown,Late Stage Venture,1.0,15054.0,crunchbase,Chantilly,France,WEM,,,NextStage,,Picardie,7e82786b73fa2409c006e03b2a9e6a6d,60500,naturabuy
